CENTRO,CIF,GRUPO,U.V.I.,URGENC.,DIRECCIÓN,CPOSTAL,POBLACIÓN,PROVINCIA,COMUNIDAD AUTÓNOMA,TELEFONO,lat,lon
A3 POLIclínica HUERCAL OVERA S.L. ,B04868261,C2,NO,NO,"AVDA. DRA. ANA PARRA, 87",04600,HUERCAL OVERA ,ALMERIA,ANDALUCÍA,950470457,37.40343333333333,-1.985766666666667
"ABLA (CALVO Y GALLEGO, S.L)",B83026039,C2,N,N,"Antonio Machado,61",28830,SAN FERNANDO D HENARES,MADRID,C. MADRID,916601861,40.4239,-3.5326
ACCYSI S.L. / FISIOCASA MURCIA,B87300489,C2,NO,NO,PLAZA DOCTOR JOSE MARIA AROCA 8,30009,MURCIA,MURCIA,MURCIA,677379968// 868242351,37.987,-1.13
ACCYSI SL / FISIOTRAFIC,B87300489,C2,NO,NO,"C/ BARÓ DE PATRAIX, 6",46018,VALENCIA,VALENCIA,COMUNIDAD VALENCIANA,677379968,39.4698,-0.3774
AMEDICS - ACTES MEDICS CONSULTING S.L.,B66084740,C2,N,N,"C/CASTILLEJOS, 355 BAIXOS",08025,BARCELONA,BARCELONA,CATALUÑA,934553500,41.4079,2.1705
ACTIVA.F. CHICLANA S.L.,B72250921,C2,N,N,"DOCTOR PEDRO VELEZ, 6",11130,CHICLANA DE LA FRONTERA,CADIZ,ANDALUCíA,856116711,36.37833333333333,-6.1179
AFAMEDIC ALCALA DE GUADAIRA,B90086661,C2,N,N,"Maiz, 14C",41500,ALCALÁ DE GUADAIRA,SEVILLA,ANDALUCÍA,954760924,37.3379,-5.8395
AGRUPACIÓ EUROPEA DE COOPERACIÓ TERRITORIAL-HOSPITAL CERDANYA,V55096580,A,S,S,"Cami dÚr, 31",17520,PUIGCERDÁ,PUIGCERDÁ,CATALUÑA,972657777,42.4242,1.9203
ALBARIZA,B11938347,C2,N,N,Jose Sanchez 47,03202,ELCHE,ALICANTE,C. VALENCIANA,666677021,38.2622,-0.7011
ALBERITE SALUD S.L.,B11896339,C2,N,N,Avenida de Arcos 90,11650,VILLAMARTÍN,CÁDIZ,ANDALUCÍA,956731200,36.8598,-5.6448
ALCHA,B13898077,C,N,N,"Calle Virgen de Monserrat, nº 8 ",41011,SEVILLA,SEVILLA,ANDALUCÍA,955440249,37.3744,-6.0008
"ALCUZENA, S.A. (clínica DR. SANZ VAZQUEZ)",A19005149,C2,N,N,"DR. FERNANDEZ IPARRAGUIRRE, 6",19001,GUADALAJARA,GUADALAJARA,CASTILLA LA MANCHA,949227200/606746463,40.6332,-3.1662
"ALFAMEDIC PALAMÓS, S.L",B17777871,C2,N,N,"AV. CATALUÑA, 83",17230,PALAMÓS,GIRONA,CATALUÑA,972600011,41.85755,3.1312
ALFAMEDICA POLICLÍNICA,B91086348,C2,N,N,"Pedro Perez Fernandez, 7 bajo",41011,SEVILLA,SEVILLA,ANDALUCÍA,954284644,37.3744,-6.0008
ALMUSALUD MOTRIL,B19629500,C2,N,N,"RIO DUERO,3 BAJO                              ",18600,MOTRIL,GRANADA,ANDALUCÍA,958834061,36.745475,-3.51035
ALMUSALUD SERVICIOS SANITARIOS,B18981043,C2,N,N,c/ Sevilla 3 Local,18003,GRANADA,GRANADA,ANDALUCÍA,958205270/958184000,37.1807,-3.6134
ALMUSALUD SERVICIOS SANITARIOS S.L.,B18981043,C2,N,N,"Marín Ocete, 8 bajo",18002,GRANADA,GRANADA,ANDALUCÍA,958205270,37.1753,-3.6041
"ALPHAS Centro Fisioterapia, Rehabilitación y especialidades médicas, BIENESTAR Y SALUD S.L. ",B87651089 ,C2,,,Avenida de los Barrancos 9 ,28290,LAS ROZAS DE MADRID,MADRID,C. MADRID ,916308800,40.5578,-3.8917
ALTER SAUDE S.L.,B36568848,C2,N,N,"C/ Tiro Naval Janer, nº1-3 Bajo",36900,MARIN,PONTEVEDRA,GALICIA,886 212 509,42.3185,-8.7738
"ALTHAIA XARXA ASSISTENCIAL UNIVERSITÀRIA DE MANRESA, FUNDACIÓ PRIVADA - CLÍNICA SANT JOSEP",G58286303,A,S,S,"C. Caputxins, 16",08241,MANRESA,BARCELONA,CATALUÑA,93 875 93 00,41.7247,1.8282
"ALTHAIA XARXA ASSISTENCIAL UNIVERSITÀRIA DE MANRESA, FUNDACIÓ PRIVADA- HOSPITAL SANT JOAN DE DEU",G58286303,A,S,S,"Doctor Joan Soler,1-3",08243,MANRESA,BARCELONA,CATALUÑA,938744050 / 93 875 93 00,41.7322,1.8369
ALZUR GABINETE DE FIDSIOTERAPIA Y REHABILITACIÓN S.L.,B91790139,C2,N,N,"Monte Olivete, 17 bajo",41007,SEVILLA,SEVILLA,ANDALUCÍA,954584765,37.3983,-5.9583
"AM. CENTRE DE MEDICINA FISIOTERÀPIA I REHABILITACIÓ VALLÈS CLÍNIC, S.L",B64053499,C2,N,N,"Empordà 30, local 1",08150,PARETS DEL VALLÈS,BARCELONA,CATALUÑA,935739696,41.5748,2.2331
AMARO CENTRO MÉDICO S.L.,B36523819,C2,N,N,"Avd. José Costa Alonso, nº 16",36950,MOAÑA,PONTEVEDRA,GALICIA,986313800,42.2857,-8.7282
AMM FISIOTERAPIA SLP  (anterior ALEJANDRO MOLINA MOLINA)  ,B93358224,C2,N,N,"Avda, de la Aurora, 69 (Edif. Aries)",29006,MÁLAGA,MÁLAGA,ANDALUCÍA,951212821,36.7202,-4.4203
